name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Beaufort County Community College,2035,North Carolina,0.6339066339066339,0.0068796068796068794,0.004914004914004914,0.3361179361179361,0.04520884520884521,0.0009828009828009828,0.5611793611793612,0.010319410319410319,0.0063882063882063885
Becker College at Worcester,2021,Massachusetts,0.5853537852548244,0.0009896091044037606,0.017318159327065808,0.07570509648688768,0.0999505195447798,0.0019792182088075212,0.6823354774863929,0.023255813953488372,0.006927263730826323
Belhaven University,4114,Mississippi,0.6842489061740399,0.005590666018473505,0.004861448711716091,0.5476421973748177,0.03500243072435586,0.001701507049100632,0.2807486631016043,0.014827418570734078,0.02066115702479339
Bellarmine University,3609,Kentucky,0.6733167082294265,0.0024937655860349127,0.01801052923247437,0.0543086727625381,0.02798559157661402,0.0013854253255749516,0.8212801330008312,0.02687725131615406,0.013300083125519535
Bellevue College,13469,Washington,0.5463657287103719,0.00541985299576806,0.16831242111515332,0.04877867696191254,0.10824857079218947,0.005865320365283243,0.47471972678001334,0.04090875343381097,0.05746529066745861
Bellevue University,9879,Nebraska,0.5318352059925093,0.0049600161959712525,0.021662111549752,0.1182305901407025,0.0684279785403381,0.0030367446097783178,0.5709079866383238,0.021358437088774166,0.029355197894523736
Bellingham Technical College,2301,Washington,0.48891786179921776,0.01086484137331595,0.02216427640156454,0.008691873098652759,0.07605388961321165,0.003042155584528466,0.6214689265536724,0.04650152107779226,0.0
Belmont University,7244,Tennessee,0.6181667586968526,0.0022087244616234127,0.021673108779679734,0.043898398674765325,0.041413583655438985,0.000966316951960243,0.7915516289342904,0.03188845941468802,0.012562120375483158
Bemidji State University,4986,Minnesota,0.562575210589651,0.026073004412354592,0.01022864019253911,0.016646610509426393,0.0188527878058564,0.00020056157240272763,0.8239069394304052,0.030284797432811872,0.01945447252306458
Benedict College,2444,South Carolina,0.5008183306055647,0.0,0.0036824877250409165,0.9885433715220949,0.0028641571194762683,0.0,0.0032733224222585926,0.0,0.0
Benedictine College,2138,Kansas,0.5257249766136576,0.0037418147801683817,0.01216089803554724,0.03274087932647334,0.052385406922357346,0.003274087932647334,0.7904583723105706,0.04443405051449953,0.031805425631431246
Benedictine University,6307,Illinois,0.6350087204693198,0.003171079752655779,0.11970826066275567,0.11146345330585064,0.07356905026161407,0.0023783098144918345,0.4456952592357698,0.0,0.020929126367528143
