total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
21059,0.5969894107032623,0.029726008,47200,12,8960,Public,19676,31388
16674,0.511035145,0.1645675902602854,56200,22,22221,Private,64334,64334
22503,0.5610363062702751,0.035239746,48500,12,9512,Public,19356,35310
3070,0.6736156351791531,0.012703583,38900,7,10965,Public,22090,35110
2262,0.5013262599469496,0.027409372,48300,19,20600,Private,41460,41460
6429,0.7141079483589983,0.006999533,50100,7,24753,Private,51610,51610
6811,0.4899427396858024,0.1601820584348847,52100,25,23335,Private,55170,55170
9234,0.5142949967511371,0.066493394,49900,23,7670,Public,19629,24465
6841,0.5801783365005116,0.043999415,43000,6,9908,Public,19570,27880
29135,0.5656770207654024,0.054985413,55000,19,5376,Public,20177,46360
27238,0.4947866950583743,0.062155812,52500,25,8468,Public,18144,31578
14906,0.4737689520998255,0.066818731,53800,16,12580,Public,17669,29733
15984,0.5616241241241241,0.023148148,48800,11,4372,Public,16370,30088
16064,0.5554656374501992,0.014193227,47300,8,8291,Public,15212,29024
12050,0.6562655601659751,0.030705394,47700,7,13601,Public,20990,32678
11928,0.5822434607645876,0.052481556,47100,8,10179,Public,17886,28428
12179,0.4554561129813613,0.09779128,67000,28,15116,Private,68801,68801
24096,0.5227838645418327,0.1301045816733067,51800,13,11188,Public,24861,48441
24806,0.5267677174877046,0.1837861807627187,72800,21,7578,Private,71200,71200
2458,0.5138323840520749,0.017087063,39000,11,13594,Private,28750,28750
4143,0.5908761766835626,0.043688149,58500,28,31069,Private,59354,59354
2826,0.5898796886058033,0.003892427,54200,21,24246,Private,62316,62316
16571,0.5477641663146461,0.033673285,54500,18,11566,Public,27088,43812
4182,0.5425633668101387,0.088235294,59800,13,9098,Private,64860,64860
11060,0.5086799276672694,0.2359855334538879,61100,32,13878,Private,69864,69864
2565,0.890448343,0.009746589,49900,9,19103,Private,50601,50601
8349,0.5702479338842975,0.073182417,58900,12,20291,Private,62338,62338
10689,0.6290579100009356,0.160538872,60600,6,21683,Private,62896,62896
